date,under_18,18_29,30_49,50_59,60_69,70_79,80_plus
2020-11-15,1628.0,619.0,1628.0,1416.0,1847.0,7060.0,5752.0
2020-11-22,1422.0,535.0,1422.0,1306.0,1561.0,6408.0,5488.0
2020-11-29,1522.0,439.0,1522.0,1414.0,1912.0,7900.0,6080.0
2020-12-06,1044.0,342.0,1044.0,958.0,1264.0,5020.0,3952.0
2020-12-13,1502.0,509.0,1502.0,1362.0,1694.0,6592.0,5720.0
2020-12-20,1638.0,567.0,1638.0,1545.0,1896.0,7788.0,6080.0
2020-12-27,1376.0,14186.0,1376.0,1192.0,1634.0,6584.0,6196.0
2021-01-03,1201.0,416.0,1201.0,1049.0,1357.0,5160.0,4680.0
2021-01-10,1730.0,578.0,1730.0,1536.0,1942.0,7104.0,5920.0
2021-01-17,1609.0,578.0,1609.0,1471.0,1944.0,7768.0,5916.0
2021-01-24,1733.0,604.0,1733.0,1369.0,1820.0,7024.0,5404.0
2021-01-31,1461.0,542.0,1461.0,1352.0,1780.0,7528.0,5960.0
2021-02-07,1331.0,508.0,1331.0,1276.0,1580.0,6416.0,4852.0
2021-02-14,1771.0,610.0,1771.0,1565.0,2165.0,8036.0,6760.0
2021-02-21,1518.0,540.0,1518.0,1344.0,1841.0,6856.0,6132.0
2021-02-28,1579.0,520.0,1579.0,1393.0,1759.0,7176.0,5980.0
2021-03-07,1371.0,445.0,1371.0,1238.0,1681.0,6532.0,6192.0
2021-03-14,1957.0,691.0,1957.0,1802.0,2209.0,9128.0,7320.0
2021-03-21,1360.0,472.0,1360.0,1297.0,1635.0,6160.0,5476.0
2021-03-28,1815.0,585.0,1815.0,1610.0,1986.0,8672.0,6732.0
2021-04-04,902.0,348.0,902.0,827.0,1150.0,4616.0,4044.0
2021-04-11,1837.0,641.0,1837.0,1650.0,2106.0,7996.0,6860.0
2021-04-18,1165.0,439.0,1165.0,1073.0,1389.0,5860.0,4508.0
2021-04-25,4680.0,1669.0,4442.0,3744.0,4965.0,19364.0,17248.0
2021-05-02,10850.0,3508.0,10403.0,8604.0,10762.0,40312.0,34436.0
2021-05-09,11138.0,4058.0,10702.0,8903.0,11527.0,44380.0,37000.0
2021-05-16,12011.0,4248.0,11408.0,9547.0,12145.0,45444.0,39380.0
2021-05-23,12845.0,4614.0,12203.0,10030.0,12774.0,48496.0,40508.0
2021-05-30,12223.0,4476.0,11778.0,9728.0,12295.0,46024.0,39156.0
2021-06-06,13840.0,4981.0,13228.0,11111.0,14135.0,54136.0,46684.0
2021-06-13,9736.0,3380.0,9310.0,7808.0,9954.0,38228.0,31140.0
2021-06-20,9557.0,3436.0,9221.0,7771.0,10344.0,39212.0,32596.0
2021-06-27,9091.0,3189.0,8725.0,6835.0,9154.0,34660.0,28880.0
2021-07-04,11042.0,4264.0,10302.0,8591.0,11461.0,45552.0,39212.0
2021-07-11,10234.0,3669.0,9605.0,8113.0,10669.0,42068.0,34856.0
2021-07-18,11770.0,4259.0,11163.0,9241.0,12276.0,45360.0,40596.0
2021-07-25,11407.0,3973.0,10909.0,9120.0,11993.0,44216.0,37316.0
2021-08-01,9574.0,3406.0,8949.0,7934.0,10497.0,39968.0,33424.0
2021-08-08,10323.0,3501.0,9896.0,8331.0,10674.0,39080.0,33728.0
2021-08-15,11192.0,4135.0,10559.0,8832.0,11708.0,45568.0,38624.0
2021-08-22,9878.0,3649.0,9330.0,7712.0,10379.0,39820.0,34804.0
2021-08-29,10895.0,3813.0,10327.0,8467.0,11222.0,41364.0,33976.0
2021-09-05,10748.0,3801.0,10231.0,8276.0,10718.0,41500.0,35368.0
2021-09-12,10662.0,3987.0,10314.0,8636.0,11102.0,41892.0,35472.0
2021-09-19,11806.0,4324.0,11082.0,9298.0,12400.0,47380.0,40336.0
2021-09-26,10537.0,3696.0,10055.0,8338.0,10470.0,40476.0,34344.0
2021-10-03,12854.0,4499.0,12111.0,9677.0,13088.0,51108.0,44584.0
2021-10-10,9902.0,3598.0,9367.0,7944.0,10450.0,38872.0,32608.0
2021-10-17,11127.0,4120.0,10517.0,9028.0,11612.0,45028.0,38632.0
2021-10-24,9828.0,3501.0,9221.0,7893.0,10390.0,39880.0,34188.0
2021-10-31,12277.0,4749.0,11573.0,9473.0,12251.0,46756.0,42420.0
2021-11-07,8346.0,2911.0,7854.0,6665.0,9067.0,34596.0,29052.0
2021-11-14,11489.0,4353.0,10966.0,8947.0,11418.0,43788.0,38280.0
2021-11-21,10878.0,4046.0,10346.0,8668.0,11188.0,42120.0,35484.0
2021-11-28,12478.0,4463.0,12027.0,10001.0,13193.0,49372.0,43004.0
2021-12-05,8948.0,2878.0,8394.0,6649.0,8513.0,33104.0,29644.0
2021-12-12,7723.0,2458.0,6976.0,5526.0,7132.0,31104.0,32288.0
2021-12-19,7443.0,2262.0,6819.0,5112.0,6416.0,26668.0,27544.0
2021-12-26,7516.0,2395.0,6769.0,5175.0,6670.0,28204.0,28052.0
2022-01-02,5742.0,1794.0,5054.0,3974.0,5770.0,24808.0,27772.0
2022-01-09,7514.0,2346.0,6827.0,5246.0,6493.0,27640.0,27680.0
2022-01-16,5471.0,1730.0,4911.0,3691.0,4747.0,20348.0,21800.0
2022-01-23,6827.0,2077.0,6129.0,4915.0,6157.0,26900.0,26840.0
2022-01-30,6811.0,2038.0,6138.0,4669.0,5994.0,25416.0,25152.0
2022-02-06,5987.0,1945.0,5356.0,4169.0,5493.0,24092.0,25288.0
2022-02-13,6845.0,2139.0,6252.0,4919.0,5966.0,24224.0,24556.0
2022-02-20,7004.0,2050.0,6411.0,5116.0,6228.0,25340.0,25076.0
2022-02-27,6575.0,2143.0,5928.0,4663.0,6066.0,25756.0,26204.0
2022-03-06,7278.0,2203.0,6653.0,4989.0,6417.0,25828.0,26144.0
2022-03-13,7391.0,2122.0,6796.0,5390.0,6505.0,26828.0,26256.0
2022-03-20,6257.0,2011.0,5594.0,4381.0,5646.0,24856.0,26372.0
2022-03-27,5715.0,1807.0,4947.0,3956.0,5143.0,23904.0,25628.0
2022-04-03,5983.0,1801.0,5358.0,4144.0,5293.0,21752.0,21496.0
2022-04-10,6537.0,1973.0,5854.0,4408.0,5629.0,23172.0,23120.0
2022-04-17,6551.0,2068.0,5704.0,4394.0,5957.0,26220.0,26572.0
2022-04-24,5907.0,1929.0,5258.0,4187.0,5343.0,23660.0,24156.0
2022-05-01,7245.0,2184.0,6595.0,5198.0,6665.0,26992.0,27708.0
2022-05-08,6891.0,2073.0,6216.0,4797.0,6169.0,25844.0,27704.0
2022-05-15,7455.0,2183.0,6731.0,5209.0,6755.0,27828.0,28544.0
2022-05-22,6811.0,2069.0,6198.0,4591.0,5863.0,24028.0,24668.0
2022-05-29,6202.0,2005.0,5494.0,4333.0,5770.0,23624.0,24428.0
2022-06-05,7497.0,2250.0,6832.0,5386.0,6594.0,26928.0,27300.0
2022-06-12,6479.0,1956.0,5772.0,4704.0,6002.0,24652.0,25124.0
2022-06-19,6965.0,2131.0,6204.0,4594.0,5997.0,25192.0,25008.0
2022-06-26,6135.0,1811.0,5560.0,4351.0,5597.0,22524.0,22716.0
2022-07-03,5174.0,1759.0,4598.0,3749.0,4957.0,21452.0,22328.0
2022-07-10,6552.0,1977.0,5908.0,4667.0,5839.0,23852.0,25264.0
2022-07-17,7062.0,2125.0,6493.0,5080.0,6463.0,25832.0,26376.0
2022-07-24,6734.0,1959.0,6104.0,4793.0,5794.0,23616.0,23632.0
2022-07-31,5333.0,1777.0,4306.0,3391.0,5019.0,23132.0,26348.0
2022-08-07,4708.0,1464.0,3418.0,2693.0,4559.0,23820.0,29816.0
2022-08-14,4736.0,1565.0,3397.0,2517.0,4248.0,21944.0,27104.0
2022-08-21,4905.0,1620.0,3541.0,2588.0,4383.0,22612.0,27152.0
2022-08-28,4286.0,1384.0,3091.0,2428.0,4019.0,21352.0,26000.0
2022-09-04,4517.0,1555.0,3236.0,2561.0,4021.0,21444.0,26140.0
2022-09-11,4099.0,1300.0,3006.0,2350.0,3999.0,20624.0,25284.0
2022-09-18,4088.0,1336.0,3058.0,2210.0,3733.0,20160.0,24248.0
2022-09-25,4506.0,1405.0,3255.0,2562.0,4213.0,22052.0,26360.0
2022-10-02,5046.0,1697.0,3663.0,2664.0,4695.0,24288.0,29792.0
2022-10-09,4047.0,1336.0,2941.0,2165.0,3760.0,19540.0,23688.0
2022-10-16,4923.0,1592.0,3586.0,2754.0,4496.0,24240.0,29084.0
2022-10-23,4369.0,1503.0,3160.0,2551.0,4173.0,22280.0,26644.0
2022-10-30,3990.0,1316.0,2874.0,2204.0,3694.0,19088.0,22500.0
2022-11-06,4849.0,1675.0,3485.0,2674.0,4340.0,22592.0,26080.0
2022-11-13,4622.0,1547.0,3334.0,2582.0,4308.0,22940.0,27248.0
2022-11-20,4717.0,1601.0,3315.0,2580.0,4167.0,22028.0,27112.0
2022-11-27,4775.0,1565.0,3506.0,2688.0,4373.0,23268.0,28568.0
2022-12-04,4344.0,1428.0,3166.0,2470.0,4023.0,22740.0,26116.0
2022-12-11,4308.0,1447.0,3208.0,2453.0,4206.0,21804.0,26100.0
2022-12-18,4478.0,1584.0,3327.0,2443.0,4073.0,21968.0,25928.0
2022-12-25,4256.0,1469.0,3126.0,2375.0,4084.0,21536.0,25348.0
2023-01-01,4351.0,1440.0,3095.0,2491.0,4090.0,22188.0,25852.0
2023-01-08,4900.0,1636.0,3578.0,2701.0,4277.0,24016.0,29484.0
2023-01-15,4237.0,1435.0,3054.0,2299.0,3796.0,19752.0,23740.0
2023-01-22,4117.0,1412.0,2960.0,2323.0,3955.0,20128.0,25044.0
2023-01-29,4521.0,1487.0,3224.0,2538.0,3916.0,21156.0,25312.0
2023-02-05,4465.0,1472.0,3254.0,2467.0,3976.0,21324.0,25936.0
2023-02-12,4916.0,1651.0,3592.0,2827.0,4535.0,23692.0,28188.0
2023-02-19,4780.0,1572.0,3485.0,2842.0,4666.0,23892.0,29808.0
2023-02-26,3918.0,1302.0,2803.0,2208.0,3710.0,19544.0,23840.0
2023-03-05,4649.0,1569.0,3407.0,2627.0,4194.0,22032.0,26180.0
2023-03-12,3882.0,1305.0,2881.0,2203.0,3644.0,20264.0,24604.0
2023-03-19,4430.0,1490.0,3215.0,2566.0,4161.0,21872.0,26028.0
2023-03-26,4971.0,1626.0,3637.0,2831.0,4668.0,23864.0,28592.0
2023-04-02,3291.0,1000.0,2385.0,1872.0,3217.0,17924.0,21192.0
2023-04-09,2937.0,926.0,2194.0,1854.0,3463.0,18600.0,23428.0
2023-04-16,2605.0,728.0,1873.0,1651.0,3082.0,16708.0,21000.0
2023-04-23,2548.0,749.0,1925.0,1635.0,2921.0,16652.0,20392.0
2023-04-30,2441.0,741.0,1810.0,1574.0,3051.0,16900.0,20224.0
2023-05-07,2421.0,783.0,1784.0,1582.0,2957.0,16524.0,20688.0
2023-05-14,2581.0,804.0,1922.0,1612.0,3061.0,16672.0,20972.0
2023-05-21,2510.0,723.0,1813.0,1574.0,2856.0,16140.0,19724.0
2023-05-28,2055.0,560.0,1462.0,1349.0,2406.0,13224.0,17244.0
2023-06-04,2043.0,561.0,1471.0,1323.0,2328.0,13656.0,17212.0
2023-06-11,2224.0,696.0,1669.0,1428.0,2604.0,14996.0,18632.0
2023-06-18,2118.0,623.0,1513.0,1269.0,2447.0,14380.0,18120.0
2023-06-25,2415.0,759.0,1783.0,1621.0,2867.0,16272.0,19956.0
2023-07-02,2013.0,643.0,1482.0,1264.0,2468.0,13860.0,17428.0
2023-07-09,2205.0,695.0,1642.0,1389.0,2556.0,14400.0,18156.0
2023-07-16,2650.0,789.0,1950.0,1743.0,3199.0,18332.0,23568.0
2023-07-23,2422.0,772.0,1760.0,1539.0,2959.0,16588.0,20468.0
2023-07-30,2292.0,646.0,1669.0,1424.0,2706.0,15184.0,18732.0
2023-08-06,2502.0,827.0,1825.0,1655.0,3177.0,17892.0,22100.0
2023-08-13,2333.0,748.0,1694.0,1625.0,2933.0,16528.0,20428.0
2023-08-20,2397.0,730.0,1794.0,1511.0,2838.0,15800.0,19668.0
2023-08-27,2474.0,781.0,1808.0,1487.0,2885.0,16728.0,21164.0
2023-09-03,2352.0,727.0,1788.0,1470.0,2831.0,16020.0,20076.0
2023-09-10,2515.0,835.0,1876.0,1644.0,2979.0,17036.0,21196.0
2023-09-17,2169.0,704.0,1573.0,1280.0,2458.0,13816.0,16856.0
2023-09-24,2417.0,714.0,1776.0,1473.0,2785.0,15856.0,19548.0
2023-10-01,1988.0,597.0,1401.0,1304.0,2310.0,13964.0,17136.0
2023-10-08,2182.0,632.0,1597.0,1417.0,2648.0,14628.0,18448.0
2023-10-15,2076.0,617.0,1540.0,1410.0,2525.0,14848.0,18480.0
2023-10-22,1939.0,615.0,1395.0,1290.0,2384.0,13400.0,17048.0
2023-10-29,2718.0,850.0,2047.0,1764.0,3325.0,17624.0,23132.0
2023-11-05,2010.0,580.0,1453.0,1270.0,2320.0,13084.0,16472.0
2023-11-12,2050.0,640.0,1478.0,1353.0,2405.0,13636.0,17304.0
